Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,121.43875,-88.6625,90.0,bottom
D2,D_Small,D_SOD-123,140.48875,-88.6625,90.0,bottom
D3,D_Small,D_SOD-123,159.53875,-88.6625,90.0,bottom
D4,D_Small,D_SOD-123,121.43875,-107.7125,90.0,bottom
D5,D_Small,D_SOD-123,140.48875,-107.7125,90.0,bottom
D6,D_Small,D_SOD-123,159.53875,-107.7125,90.0,bottom
D7,D_Small,D_SOD-123,121.43875,-126.7625,90.0,bottom
D8,D_Small,D_SOD-123,140.48875,-126.7625,90.0,bottom
D9,D_Small,D_SOD-123,159.53875,-126.7625,90.0,bottom
MX1,MX-NoLED,MX-1U-NoLED,111.91875,-87.3125,0.0,top
MX2,MX-NoLED,MX-1U-NoLED,130.96875,-87.3125,0.0,top
MX3,MX-NoLED,MX-1U-NoLED,150.01875,-87.3125,0.0,top
MX4,MX-NoLED,MX-1U-NoLED,111.91875,-106.3625,0.0,top
MX5,MX-NoLED,MX-1U-NoLED,130.96875,-106.3625,0.0,top
MX6,MX-NoLED,MX-1U-NoLED,150.01875,-106.3625,0.0,top
MX7,MX-NoLED,MX-1U-NoLED,111.91875,-125.4125,0.0,top
MX8,MX-NoLED,MX-1U-NoLED,130.96875,-125.4125,0.0,top
MX9,MX-NoLED,MX-1U-NoLED,150.01875,-125.4125,0.0,top
U1,keyboard_parts_TEENSY2.0,Teensy2.0,118.26875,-68.2625,0.0,top
